yield_strength,hatch_spacing,laser_beam_power,laser_beam_speed,laser_module,laser_spot_size,scan_rotation,stripe_width
351.5238616380355,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
340.76625215007607,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
355.0897345664517,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
356.61064273112976,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
333.4778434907694,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
338.6686889451015,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
350.1088482253383,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
346.55618426125136,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
348.9517157399657,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
342.2617735794114,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
356.12130879890265,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
355.30846048343165,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
349.6143705804898,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
358.1040546557443,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
352.8261997380164,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
342.2117852969341,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
352.03613127266004,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
341.41506419336804,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
356.11372741045824,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
348.68671771211,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
347.6072260916379,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
343.63868864476854,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
358.86645570939226,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
347.8498891434496,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
345.6595024226952,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
346.2690565960942,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
353.34459848442685,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
352.00967751491265,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
352.387985892768,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
352.5326930240631,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
366.21930580696375,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
345.83480486892313,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
344.98818316742774,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
342.575943174017,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
354.013960380604,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
358.11790334176715,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
348.17454533876105,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
342.3648731842998,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
342.49027527447015,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
354.29086730259763,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
355.03215836962755,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
353.4313591464416,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
343.7620473416905,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
350.9434155845338,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
350.01961147312585,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
350.8356337738321,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
356.05755522358555,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
350.8748893901975,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
354.5174335045752,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
349.6267575559112,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
351.3990801895199,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
354.13643080670835,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
337.4288784411547,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
346.52875526914164,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
345.3231437656577,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
343.9751022140533,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
346.8849869901866,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
361.04565548987523,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
342.1594760744541,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
356.8323518367319,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
335.6231668270736,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
346.4070447601138,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
350.3881495208401,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
353.7759036508743,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
354.7759376383429,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
355.43290288159943,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
346.29632442201256,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
345.3873106586835,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
355.94993205005727,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
347.5556904009471,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
338.88063441329666,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
340.0198272879722,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
341.7305067119872,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
353.06341095243016,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
350.22553088856455,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
354.6100078325422,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
345.66810382930777,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
350.35444252861373,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
354.0908481517387,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
346.61135268223813,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
352.7403269004593,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
343.79071747146685,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
346.18169422747945,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
346.0322218480134,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
339.5194078352877,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
352.9819048462847,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
345.3309062783782,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
349.18607794982154,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
352.9320982712473,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
352.6583744082396,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
354.4092058717823,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
348.29824112392464,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
345.6997385036468,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
348.44837931274884,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
335.5874495283358,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
337.50922522061535,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
338.5045281011648,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
341.1081503791882,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
352.28431881378754,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
341.84229255711955,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
346.0608245676849,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
359.47995138228856,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
346.23601323150865,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
354.98624954773675,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
341.61718355992105,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
347.442624537059,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
341.48594856071537,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
346.37386039279556,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
355.8085900996592,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
335.2675616144613,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
352.5615141483669,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
350.98800981865827,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
344.3329253544257,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
337.5176621648924,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
349.663161061711,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
344.8501833274896,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
350.94753469083764,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
349.26094216418755,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
361.9003561305674,87.75,360.75,1316.25,1.45,126.75,65.325,9.75
